Minutes Index, Status Register, Accumulated Charge, Voltage, Current
314, 0, 45615, 7.530, -0.658
315, 0, 45595, 7.529, -0.655
316, 0, 45576, 7.532, -0.644
317, 0, 45556, 7.529, -0.671
318, 0, 45537, 7.527, -0.669
319, 0, 45518, 7.528, -0.663
320, 0, 45498, 7.531, -0.642
321, 0, 45479, 7.528, -0.658
322, 0, 45459, 7.528, -0.663
323, 0, 45440, 7.529, -0.658
324, 0, 45421, 7.531, -0.642
325, 0, 45401, 7.527, -0.661
326, 0, 45382, 7.526, -0.692
327, 0, 45362, 7.525, -0.682
328, 0, 45343, 7.532, -0.632
329, 0, 45323, 7.526, -0.668
330, 0, 45304, 7.525, -0.670
331, 0, 45285, 7.526, -0.662
332, 0, 45265, 7.529, -0.641
333, 0, 45246, 7.525, -0.666
334, 0, 45226, 7.526, -0.655
335, 0, 45207, 7.523, -0.670
336, 0, 45187, 7.530, -0.630
337, 0, 45168, 7.522, -0.678
338, 0, 45149, 7.526, -0.654
339, 0, 45129, 7.523, -0.669
340, 0, 45110, 7.530, -0.632
341, 0, 45090, 7.522, -0.676
342, 0, 45071, 7.524, -0.654
343, 0, 45051, 7.519, -0.673
344, 0, 45032, 7.526, -0.634
345, 0, 45012, 7.521, -0.677
346, 0, 44993, 7.523, -0.664
347, 0, 44974, 7.522, -0.666
348, 0, 44954, 7.525, -0.650
349, 0, 44935, 7.520, -0.673
350, 0, 44915, 7.522, -0.662
351, 0, 44896, 7.521, -0.671
352, 0, 44876, 7.525, -0.651
353, 0, 44857, 7.519, -0.677
354, 0, 44837, 7.520, -0.667
355, 0, 44818, 7.521, -0.663
357, 0, 44798, 7.522, -0.658
358, 0, 44779, 7.518, -0.675
359, 0, 44759, 7.516, -0.694
360, 0, 44740, 7.519, -0.662
361, 0, 44721, 7.520, -0.662
362, 0, 44701, 7.517, -0.676
363, 0, 44682, 7.517, -0.678
364, 0, 44662, 7.519, -0.666
365, 0, 44643, 7.519, -0.669
366, 0, 44623, 7.513, -0.678
367, 0, 44604, 7.516, -0.678
368, 0, 44584, 7.519, -0.656
369, 0, 44565, 7.517, -0.670
370, 0, 44545, 7.516, -0.674
371, 0, 44526, 7.516, -0.671
372, 0, 44506, 7.519, -0.650
373, 0, 44487, 7.514, -0.674
374, 0, 44468, 7.515, -0.676
375, 0, 44448, 7.514, -0.679
376, 0, 44429, 7.517, -0.650
377, 0, 44409, 7.515, -0.675
378, 0, 44390, 7.514, -0.670
379, 0, 44370, 7.513, -0.674
380, 0, 44351, 7.518, -0.643
381, 0, 44331, 7.512, -0.677
382, 0, 44312, 7.512, -0.671
383, 0, 44292, 7.512, -0.672
384, 0, 44273, 7.518, -0.641
385, 0, 44253, 7.512, -0.671
386, 0, 44234, 7.509, -0.673
387, 0, 44214, 7.511, -0.672
388, 0, 44195, 7.516, -0.642
389, 0, 44175, 7.510, -0.677
390, 0, 44156, 7.512, -0.660
391, 0, 44136, 7.510, -0.672
392, 0, 44117, 7.516, -0.633
393, 0, 44097, 7.508, -0.680
394, 0, 44078, 7.510, -0.667
395, 0, 44058, 7.509, -0.676
396, 0, 44039, 7.516, -0.631
397, 0, 44019, 7.507, -0.680
398, 0, 44000, 7.510, -0.664
399, 0, 43980, 7.507, -0.675
400, 0, 43961, 7.514, -0.642
401, 0, 43941, 7.506, -0.676
402, 0, 43922, 7.508, -0.664
403, 0, 43902, 7.507, -0.668
404, 0, 43883, 7.512, -0.644
405, 0, 43863, 7.505, -0.678
406, 0, 43844, 7.506, -0.668
407, 0, 43824, 7.508, -0.662
408, 0, 43805, 7.509, -0.649
409, 0, 43785, 7.502, -0.670
410, 0, 43766, 7.507, -0.659
411, 0, 43746, 7.505, -0.666
412, 0, 43727, 7.508, -0.651
413, 0, 43707, 7.504, -0.674
414, 0, 43688, 7.504, -0.666
415, 0, 43668, 7.506, -0.658
416, 0, 43649, 7.507, -0.644
417, 0, 43629, 7.504, -0.665
418, 0, 43610, 7.504, -0.660
419, 0, 43590, 7.505, -0.653
420, 0, 43571, 7.506, -0.646
421, 0, 43551, 7.502, -0.670
422, 0, 43532, 7.503, -0.656
423, 0, 43512, 7.505, -0.645
424, 0, 43493, 7.504, -0.647
425, 0, 43473, 7.501, -0.667
426, 0, 43454, 7.502, -0.659
427, 0, 43434, 7.504, -0.641
428, 0, 43414, 7.501, -0.655
429, 0, 43395, 7.501, -0.658
430, 0, 43375, 7.500, -0.664
431, 0, 43356, 7.501, -0.654
432, 0, 43336, 7.499, -0.663
433, 0, 43317, 7.498, -0.669
